Review_Date,Reviewer_Nationality,negative,positive,score
14/07/2022, United Kingdom , Breakfast was not included even though when booked it was,No Positive,2.9
14/07/2022, Paraguay , The room didn t have a central heating system and it got pretty cold at night A portable electric heater was provided but it was too small for the room The walls were stained and the curtains were old and ripped at some spots The furniture was also old and damaged , The location was very convenient the subway station is just 2 blocks away to access any touristic spot in Paris ,7.5
14/07/2022, United Kingdom , Location not great prices will no doubt go up once established Breakfast was 25 , It s brand new looks great feels great staff very good ,9.6
14/07/2022, Malaysia , We didn t have bouth of rooms with view which I was asked for it, Everything was perfect bed was really comfortable Breakfast was good and all the staffs were friendly and helpful ,9.6
14/07/2022, United Kingdom , None, Everything,10
14/07/2022, United Kingdom , Tea and coffee in room Some parts could do with refresh, Beds comfy Staff excellent and helpful Lively bar,7.9
14/07/2022, United Kingdom , Breakfast a bit pricey, Bed was extremely comfortable staff were very helpful location ideal for hyde park albert hall v a science and nat history museums,9.6
14/07/2022, United Kingdom ,No Negative, The staff were so helpful and friendly Attention to detail Hotel was a jewel Immaculate and great quiet location ,10
14/07/2022, United Kingdom , Not a bad experience as such but we felt the room and bathroom were a little cramped But for one night it was fine , Friendly staff clean modern building good breakfast and all in a good location with easy access to London ,9.6
14/07/2022, Australia , My only criticism would be the small rooms but that is usual in Paris, The bed was comfortable and good size bathroom Very clean ,9.6
14/07/2022, Kuwait , Away from underground stations about 15 min walk , Staff ease of check in and check out location decoration of the hotel and rooms Food ,8.3
14/07/2022, United States of America ,No Negative, The club room is excellent Will be back ,9.6
13/07/2022, United Kingdom , Room location nothing outside the windows but other windows Big brown stain on the carpet in the room Tired decor Staff not very helpful when questioning the bill that was wrong , Location ,5.4
13/07/2022, United Kingdom , 6 flights of stairs but if you want the best so i shouldn t moan Guests in the next room quite disruptive as had a young child up at 5 30am not the hotels fault but keep in mind if you are after a quiet room , Very Friendly Staff beautiful quaint hotel not corporate and very accommodating Stunning bedrooms and real ground coffee in the room lovely touch Moulton Brown toiletries all very good ,9.2
13/07/2022, China ,No Negative, Very good location Very welcoming The size of the room is just right and functional Excellent over all We ll come back again next time to Paris,10
13/07/2022, United Kingdom , Room service breakfast toast was soggy, Bed very comfy Room service breakfast fruit was excellent,7.9
13/07/2022, Saudi Arabia , Nothing, Room decoration high ceiling direct Eiffel Tower view from bedroom and living room,10
13/07/2022, Kuwait , The type of pillow it was too high, Location location location,8.8
13/07/2022, United Kingdom , No milk for tea coffee Only 1 towel, good location for our visit,5.8
13/07/2022, Hong Kong , The breakfast is the same every day , The mattresses are very comfortable We three could sleep tight every night ,8.8
12/07/2022, United Kingdom , Advertised 24hr room service but there isnt any room service after 1am, The room was very clean comfortable bed was very comfortable ,7.5
12/07/2022, Cyprus , Didnt replace all the towels, Polite staff Delicious breakfast,9.2
12/07/2022, United Kingdom ,No Negative, Staff excellent great service ,9.6
12/07/2022, United Arab Emirates , Paying for car park, Bed was extra comfy Staff were excellent ,9.2
12/07/2022, Saudi Arabia ,No Negative, The efficiency of the staff Only one person in the reception but very efficient The location is great with easy access to many things around including UNESCO ,9.2
12/07/2022, Lebanon , Breakfast should be improved, Excellent location,7.9
12/07/2022, Saudi Arabia , The lobby is kind of small and the reception counter is always busy , Size of the business room was really good Tube station and Oxford street are near Very quite regardless of the busy location The express check out service was really good ,8.8
12/07/2022, United Kingdom , Need to upgrade vegetarian breakfast or adjust price accordingly , Staff really helpful couldn t do enough for us Good location Lovely hotel with quite unique features ,8.8
12/07/2022, United Kingdom , The leaking shower door , Location and staff ,9.6
12/07/2022, United Arab Emirates , I had checked out early on my last day and had forgotten my house keys and flight pillow in the room Luckily i remembered at 3pm and asked a friend to pick up my things for me I am very disappointed because the Hotel did not call me or email that they had found my things Why ask for this information if you are never going to use it very unprofessional , THE WELCOME COOKIE The deluxe queen has Comfortable bed the staff were friendly ,7.9
12/07/2022, United Kingdom , Nothing it was that good , It was an amazing place People there are were super great and the atmosphere was relaxing I highly recommend it and will definitely go again,10
12/07/2022, South Korea , nothing, good location cozy and luxurious room good breakfast very clean I recommend this hotel highly ,10
12/07/2022, United States of America , Nothing, Did not have Breakfast ,10
11/07/2022, United Kingdom , The hotel feels tired and needs a makeover,No Positive,5
11/07/2022, Sweden , The hotel breakfast was not that good ,No Positive,7.1
11/07/2022, United Kingdom , Bed was very cold no quilts just sheet and room was cold all night Breakfast cold and not appetising Paid a considerable amount for below average hotel Would not return or recommend , Staff and location,4.6
11/07/2022, France , Quality of cleaning staff members will be BIG issue For example 1 when we entered into the room for the first time one of the water bottle put on the bedside table was opened and 2 on the 2nd day after the room cleaning we found one of the bath robes was put onto my suitcase kissing to the dirty wheel This should not happen to the Hilton brand hotel Hair dryer generates only cold wind no matter how we changed the setting , Staff members at reception and concierge were friendly and addressed questions properly Large room Comfortable bed Proximity to station 5 min walk ,7.9
11/07/2022, Australia , WiFi reception was poor Would have been nice to be able to choose sub titles on TV channels where English not available, Great location Great view Very comfortable rooms Great breakfast,8.8
11/07/2022, United States of America , Nothimg, Quiet affordable very friendly staff booked it 2 months ago online room we booked was unavailable upon check in we were offered other favourable options Upon check in very pleasant stay Would recommend it 100 ,10
11/07/2022, United States of America ,No Negative, The hotel is in a cute neighborhood and very close to the train station The restaurant in the bar was great and the back garden was lovely ,10
11/07/2022, United States of America , Nothing , All of the staff were wonderfully polite and extremely helpful The wine by the glass selection in the bar was excellent ,9.6
11/07/2022, United Kingdom ,No Negative, Fantastic breakfast Huge bed and shower ,9.6
10/07/2022, United States of America , They needed a few more pillows for the fold out couch and bed but it was otherwise very comfortable , The staff was very helpful and the rooms were very modern clean and very quiet It was a fantastic location ,10
10/07/2022, United Kingdom , Misleading pictures on the website and description of facilities etc had been overly dressed up in the overall description We are experienced well mannered travellers and this is the first time I feel compelled to actually write a bad rewiev Will possibly seek legal advise on the whole treatment received , Poor service disgusting food with complimentary hair in it misleading pictures King annex is more like an army barrack than a proper luxury room Wanted lo leave 5 min after arriving In fancy we checked in and out on the same day manager was unavailable to discuss our reasons for wanting to leave and refuse to give us even a partial refund for the7 nights stay that we had previously booked Booking com advided us that despite the contractual agreement with the hotel the manager should offer a refund in special circumstances like ours and he totally refused to even talk to us on the phone Appalling ,2.9
10/07/2022, Italy ,No Negative, More clean ness wifi wasnot very strong,5
10/07/2022, United Kingdom , could have done with an extra blanket in the rooms dont like air con so turned it off and was a little cold but not a big problem , overall welcome style and service,9.6
10/07/2022, United States of America , Bar closes at 12, Fitness and pool,8.3
10/07/2022, Malta ,No Negative, Nice room spacious and cleaned 5mins from train station and also centre of shops Excellent staff they really helped us Really recommended ,9.6
10/07/2022, United Kingdom , Tiny slow lift , Great breakfast Nice shower ,9.2
10/07/2022, United Kingdom , No way to cool the room down other than open the windows fortunately its a quite area breakfast too expensive cafe opposite very nice lovely staff too, very nice rooms good size comfy bed fluffy towels kettle Handy for Ealing Broadway shops and tube ,8.3
10/07/2022, United Kingdom , Some less desirable types constantly hanging round the hotels entrance , Very modern facilities in the room Location of hotel for trains to Europe ,9.2
10/07/2022, Australia , Reasonable sized room unfortunately fitted with chunky furniture that got in the way making it tricky for two people to move around in The bathroom was the smallest I have ever experienced , Good location v close to British Museum,5.8
10/07/2022, United Kingdom , I had reserved online through booking com two rooms a double room for my parents and a single room for a friend of theirs I had booked both rooms as refundable on purpose if anything came up in the four months prior to their stay Reading more reviews on the hotel in different portals I got worried about feedback on the size of the rooms and decided to go and take a look myself as I wanted my parents to be as comfortable as possible The lady at reception was friendly and showed me two rooms the size of the double room was ok but the single room felt really claustrophobic Besides there was nothing warm or welcoming abt the place and I absolutely did not want my parents to stay there When I got home I discovered that I had made a mistake and only the double room was fully refundable while the single room was on a non refundable rate I called booking com right away and asked for advice they were very friendly and told me that most hotels agree to returning the money nonetheless which is in their discretion especially if there is still 4months to resell the room and the booking had just been made a few days ago I phoned the hotel straight away and they told me they would not be willing to let me off the hook I then walked by another day in the hope to have a better dialogue in person and the answer remained the same I did find a hotel nearby the Cranley hotel bina gardens for about the same price which was absolutely delightful with tasteful big rooms where my parents had a wonderful stay I can only recommend to anyone looking for a room to look elsewhere it s unbelievable how different a package you can get for the same price ,No Positive,3.3
10/07/2022, United Kingdom , The pillows were too soft low, Very large bathroom with separate shower penhaligon toiletries complimentary bathrobes slippers and bottled water plus turn down bed service ,10
10/07/2022, United Kingdom , Hotel is in need of refurbishment room was very small and bed was uncomfortable , The location,4.6
09/07/2022, United Kingdom , Nothing , A great room and perfect hotel,9.6
09/07/2022, United Kingdom , I would have liked breakfast for the cost but so many places to eat around the location not a deal breaker , The deluxe room with the view of the pantheon was wonderful plush decoration very opulent and romantic Great location a short walk to everything Found a fab eatery just around the corner staff friendly Can t fault ,9.2
09/07/2022, United Kingdom , No tv Bath plug broken mattress poor staff entered room twice for no reason without waiting to be invited ,No Positive,5.8
09/07/2022, United Kingdom , Room a little on the small side breakfast waiting staff clearing breakfast table before we had finished , Breakfast was lovely reception staff friendly,7.9
09/07/2022, United Kingdom , They don t say anything about tax until you get there so you gotta pay a 10 tax which I thought it was muggy but other then that it was good , It was very clean but the breakfast wasn t that good to be honest ,7.5
09/07/2022, United States of America , The room was drab and dreary and the decor was ugly But the bathroom was pleasant decorgreat location, Lobby Breakfast Front desk,9.2
09/07/2022, United Kingdom , Breakfast was rather hurried I had an ac back pain had difficulty in helping myself with BF Although a chap was assigned to our table but he was hardly around Had to ask another waiter for Poached eggs Did not like Digital Radio light alarm was on , Most liked Bed Shower room Bacon Poached eggs Best I had for many yrs Staff were helpful,9.2
08/07/2022, United Kingdom , The room was a bit brown decor wise Lots of really grubby fingerprints on the walls from a previous occupant could do with scrubbing off Yuk I had to hunt for a receptionist which meant I had to queue at the bar before we could check in Bit irritating , It s a pub with rooms Nice pub with a lovely garden and a friendly ambience Good value for London The food looked nice but we didn t eat there as we were going to a party Staff friendly Room was compact but had nice bathroom and also good tea teapigs and coffee nepresso and real milk Impressed Bed very comfy It was a hot night so we had to open a window and thought it would be noisy but actually it wasn t Would definitely recommend if you want to stay in West Ealing at a reasonable price and in somewhere nicer than a travelodge ,7.9
08/07/2022, Canada ,No Negative, Staff were very accommodating to let us have our room as soon as house keeping had it prepared Arriving from western Canada after an evening flight this was very much appreciated ,8.3
08/07/2022, United Kingdom , It was a bit pricey but that is just London And they were doing some construction during our stay but it was quiet at night , It was one block from our meeting at Imperial Innovations so that was great Would also be perfect for Royal Albert Hall and many other things The concierge was wonderful Great staff all around I d go back ,8.8
08/07/2022, United Kingdom ,No Negative, Great location with a trendy modern vibe Definitely stay again ,9.6
08/07/2022, Germany , We stayed in a small double room and paid 308 for 2 nights The bedroom was ridiculously small and was not fit for 2 people My husband had to lie on the bed while I got ready and vice versa as there was not enough space for 2 people to stand anywhere in the bedroom or bathroom at the same time Most uncomfortable stay in a hotel I have experienced Breakfast was included and there was plenty of choice however both mornings we had to ask for bowls as they d run out and the bacon was non existent on the 2nd morning There were hardly any tables for 4 people so we had to sit separately from our friends All in all after this experience I would not stay in the mecure Kensington again , Location and that was it ,5
08/07/2022, United States of America ,No Negative, very comfortable and a superb location,9.2
08/07/2022, United Kingdom , Breakfast cost could have been lower It was too much so we ate out, Bed was massive room was top notch ,9.6
08/07/2022, South Africa , Old tired furnishings, Location,5.8
08/07/2022, United Kingdom , The price of food in the hotel even by Paris tourist standards was high , Beautiful hotel in a superb location next to The Louvre Handy for metro water bus and walking distance of many restaurants and cafes,8.3
08/07/2022, Kuwait , the space too small,No Positive,7.9
08/07/2022, Israel ,No Negative, Huge hotel lots of rooms and staff but thats what makes it a minus aswell Clean rooms good welcome and a free water everyday ,8.3
08/07/2022, United Kingdom ,No Negative, It was our wedding anniversary and the hotel surprised us with chocolates and champagne ,9.6
07/07/2022, Ukraine , Lobby looks awfull i took shower water was all over the floor very uncomfortable sink, Location,5.8
07/07/2022, United Kingdom ,No Negative, Staff were excellent the hotel was a lovely building in an excellent location ,9.6
07/07/2022, United Kingdom ,No Negative, Great central location right next to Victoria Station friendly staff and the rooms were very quiet ,10
07/07/2022, United Kingdom ,No Negative, Extremely helpful staff Excellent location ,8.3
07/07/2022, Switzerland , Staff dont smile, Location cleanness of the room room service,7.9
07/07/2022, Switzerland , Very delayed check in,No Positive,7.5
07/07/2022, United Kingdom , Nothing, The bed was really comfy Plenty of tea coffee facilities ,9.5
07/07/2022, United Kingdom ,No Negative, The general ambiance friendly helpful staff ,10
07/07/2022, Guernsey , Noise lack of information deposit on check in unfair price, Design,4.6
07/07/2022, United Kingdom , Not enough staff on at breakfast blind shabby in room portable radiator in bedroom as a result a sore toe , Location,7.9
07/07/2022, United Kingdom ,No Negative, The staff were amazing So helpful Fantastic bar and lovely breakfast area Would go back without hesitation ,9.6
07/07/2022, United Kingdom , Really needs TLC coat of paint wouldn t good a miss smelt unpleasant,No Positive,4
06/07/2022, United Kingdom , Breakfast choice and quality could be better Having said sad our eggs had been done to perfection and tasted lovely , Absolutely lovely staff ,9.2
06/07/2022, United Kingdom ,No Negative, The proximity of this hotel to Victoria Station and all of the connections make this hotel our hotel of choice in London The standard of rooms is excellent and processes are efficient which is essential for any business traveller,7.9
06/07/2022, Netherlands , The lift is incredibly slow Fortunately being on the second floor I could easily use the stairs , Warm welcome and my room ready early which got my stay off to a grea start Room good size despite being booked as a single Quiet and well equipped ,9.6
06/07/2022, Australia , No views at all , Room size and location ,9.6
05/07/2022, Germany , The only problem we had was with the toilet door Unfortunately it was just a glass sliding door that didn t fully close and was fogged but you could see faint shadows from both sides , The rooms were decorated lovely and the staff were always very helpful polite and attentive Hotel was Infront of a metro station and we found it very easy to travel around Paris We stayed in the basic double room a little small but perfect for the two of us ,10
05/07/2022, United Kingdom ,No Negative, I booked the hoxton based on its location but was more than happy with the whole experience whilst staying there,10
05/07/2022, Ireland , Water pressure in the shower was a disaster, Atmosphere buzz room,9.6
05/07/2022, United Kingdom , Decor starting to look tired, Excellent location friendly staff,7.9
05/07/2022, United Kingdom ,No Negative, Clean quiet friendly and helpful staff quick to deal with any issues loved it,10
05/07/2022, South Korea , sofa bed is some small but the price is good, very clean and near to station,9.6
04/07/2022, United Kingdom , Very small room and bathroom for an Executive double Poor d cor in need of refurbishment ,No Positive,7.5
04/07/2022, Israel , There was a slight bad smell in the bathroom which has no ventilation and the wireless connection had to be setup user and password each time you open your cell phone which was quite annoying Also the mattress wasn t so comfortable , A great hotel in an excellent location with special atmosphere created by beautiful lobby friendly staff and small gestures such as free espresso and macaroons as well as wine in the afternoon happy hour along with additional special sweets ,9.2
04/07/2022, United Kingdom , bathroom a little on the jaded side not as nice as when we stayed last year It was too hot in the bedroom and the corridoors, Room was lovely staff friendly,7.5
04/07/2022, Italy , I do not understand why I was proposed 3 double bedrooms instead of two we are a family of 5 as in one of the rooms there was a third bed just to be prepared , I liked the bedrooms and bathrooms and the pub at the groundfloor decorated for Halloween brrrr The breakfast was quite disappointing above all for the children ,5.4
04/07/2022, United States of America , The selection of TV channels to watch is rather poor and limited Should be more international and more variety since most channels are only news , The in room dining experience and the comfortable rooms,9.6
04/07/2022, United Kingdom ,No Negative, Location and really felt that we were in France The whole stay was very relaxed and pleasant Thank you ,10
04/07/2022, United Kingdom , Our room was looking a little tired around the edges but was spotlessly clean The dining room is very very small so time breakfast carefully and be prepared to wait a little bit but there is a good selection We left our bags whilst we shopped and they were not stored securely when we returned there was nobody there keeping an eye on them and we had to retrieve them ourselves from by the front door , The location is great for getting around London the room was pleasant and the beds comfortable and the room was spotless and you could not hear too much from outside ,7.1
03/07/2022, Lebanon , Rooms very small Same breakfast all days Lift not working , Location is easy to transport near bus stop and 5 mins far from earl s court station ,6.7
03/07/2022, Canada , The gym is not a proper gym at all They might as well not have anything Tiny space with practically nothing They need to upgrade it Breakfast is ok Not worth the money Better to go outside , Great staff Amazing location Awesome room Stayed in Paris many times Best hotel thus far Can t recommend it enough ,9.2
03/07/2022, United Kingdom ,No Negative, Comfy beds and quiet rooms,8.3
03/07/2022, United States of America , we had trouble with wifi but it could have been us , LOCATION LOCATION,10
03/07/2022, United States of America ,No Negative, The staff concierge were absolutely incredible ,10
03/07/2022, Austria , The mattress is terribly soft it gave me backache , The location is very good Free Internet ,7.5
03/07/2022, Bulgaria ,No Negative, Perfect location very close to the tube station kind staff and clean room ,10
03/07/2022, United Kingdom , we booked a double we were given an access room and were told by the reception staff that that was what we had booked It was not The bed was small,No Positive,5
03/07/2022, United Kingdom , The only negative comment I have is that the quilt on the bed was a bit stale The cover was clean though , The staff were fabulous very attentive and nothing was too much trouble New hotel with very comfortable rooms ,9.6
03/07/2022, Switzerland , There really wasn t anything that I didn t like , The staff were excellent and so kind and helpful Thank you ,9.2
02/07/2022, Ireland , Noise from trains and smell in the public toilets area And one of the staff had really bad breath probably from not eating as he probably had to work through beeak,No Positive,7.1
02/07/2022, United Kingdom , Tired old room very different to the advertising Poor sound proofing from lift shaft hallways and road outside Knackered old furniture Won t be staying here again, Not much,4.6
02/07/2022, China ,No Negative, Location and convenience Friendly and thoughtful staff ,7.9
02/07/2022, United Kingdom , No toothpaste in room and no brekfeast, Nice location and friendly non judgemental staff ,9.2
02/07/2022, Australia , Our room was ridiculously small and expensive , Handy location for Gare de Lyon,5.4
02/07/2022, United Kingdom , I booked a double room for myself but it is too small I think it is just a single room with double bed not worthy the money at all , The location is OK breakfast is good staff arenice,6.3
02/07/2022, Jersey , the room was very small indeed and the tv position was a neck breaker , The location and the breakfast was fine ,5
02/07/2022, Pakistan , The indifferent bellhops chatting amongst them all day at the entrance , Location breakfast ,8.3
02/07/2022, United Kingdom ,No Negative, Great location staff very helpful,10
02/07/2022, United Arab Emirates ,No Negative, Building is very old but nicely maintained Bed quality was excellent and quality of toilettes are very good We booked family suite and there are three single beds in children room but we have a teenage daughter so they gave us two connecting rooms later which were much better The rooms are facing back of building which is better than facing road because it is more quiet and you can keep window open ,9.2
02/07/2022, United Kingdom , Stayed in a twin room Incredibly hard beds Most uncomfortable nights sleep in a hotel Hair dryer useless despite asking for another one , Excellent location Lovely breakfast Great View ,6.7
02/07/2022, United Kingdom , Dirty, Loction,9.6
02/07/2022, United States of America , location not what we expected, staff was very attentive,6.7
01/07/2022, Egypt , Every thing, It was a nice smooth stay,7.5
01/07/2022, Sweden , Room needs to be refreshed not enough plugs better lightning with different options ,No Positive,7.9
01/07/2022, United Kingdom , There had been poor quality repairs done to the bathroom tiles Only a small hotel so facilities are basic , Fabulous location and staff ,8.8
01/07/2022, Gibraltar , The hotel is tired Paint is chipped and the hotel needs to be refurbished For the price charged 260 sterling one can find better hotels , The location is very good and the staff friendly ,5.4
01/07/2022, Australia ,No Negative, Location excellent as we caught the train from Paris to Milan,10
01/07/2022, United Kingdom ,No Negative, Very well designed room staff charming and helpful ,10
01/07/2022, Slovakia , There was no toilet brush and we never got new toiler paper even tough we almost ran out of it after the first night , Staff especially at the reception was very nice Location was excellent,8.8
30/06/2022, Thailand , staff wasn t really friendly but i guess it was just parisian style , location room,7.9
30/06/2022, United Kingdom , Very noisy outside in the street from 6am onwards each day I think it was beer barrel deliveries or something similar It made sleep impossible from that point on My room was situated on the first floor , Excellent location for my nearby conference Nice breakfast and room facilities ,7.5
30/06/2022, Kuwait , No network coverage also i can hear the metro when he passed , Location,6.5
30/06/2022, United Kingdom , Nothing , Very friendly welcome A super comfy bed in a well equipped room A lively atmosphere downstairs Simple but tasty breakfast ,10
30/06/2022, Switzerland , There was some confusion our room size we thought we booked for 2 adults and 2 staff but we re only provided with a single sofa bed in our room so not big enough for two children to sleep on The room was at the back and we were woken up by the rubbish men emptying what sounded like tonnes of recycling at 6am on a Saturday morning It just wasn t a great stay I ve booked one more weekend there That will be the deciding weekend to see if we stay there again , The location is excellent We stayed their for two weekends the first weekend we had an excellent stay amazingly accommodating staff lovely spacious room Second weekend was like we were in a different hotel a hotel that just wasn t as good disappointing as our first stay was really good ,6.7
30/06/2022, United Kingdom , body hair from multiple individuals in the bed Slept on the chair after raising concern to three staff members Informed Ill be back Never came back , Breakfast,2.5
30/06/2022, United Kingdom , Nothing, The room,10
30/06/2022, United Kingdom , Very dated needs a refurb, The position,7.9
30/06/2022, Australia , Very iverpriced, The view of the Eiffel Tower when it wasn t foggy,5
29/06/2022, Australia , The bed was too firm , The service and attention to detail was great ,9.6
29/06/2022, United Kingdom , Hotel need a restaurant and bar and if possible to be able to cook a full English breakfast, The building was fantastic rooms where really good,9.2
29/06/2022, Antigua Barbuda ,No Negative, Perfect from checking in to checking out Great location for RAH Staff are attentive without being intrusive ,10
29/06/2022, Australia , Nothing, Very convenient to Gare de Lyon ,8.3
29/06/2022, United Kingdom , The hotel was very warm and apart from a small fan or opening the window there was no way of changing this There was very little breeze outside We were upgraded but there was no hairdryer iron or extraction fan in the bathroom , The hotel was lovely and the staff where very helpful It was a great location for the west end and getting around The rooms were well presented a good size and clean Bar prices were very reasonable,8.8
29/06/2022, United Kingdom , The dated tired decor and bored staff, The bathroom was ok,4.6
29/06/2022, Canada , Wish breakfast had been included , Great location so close to everything Right next to the Kensington Gardens which are stunning and so convenient to walk anywhere through the beautiful gardens Staff were so warm friendly helpful and accommodating Felt welcomed and right at home The hotel itself is STUNNING A true English style so many stairs and every floor is stunning The rooms have beautiful comfortable beds running drapery wallpaper paintings I loved it so much So happy to have stayed here on my trip Pub was comfy welcoming and made some nice friends ,9.6
29/06/2022, Norway , The breakfast should be included at that room price I did not like that anyone could see in to swimmingpool , Good breakfast expensive Playtable in reception area since we were a bit stuck due to demonstration outside ,9.2
29/06/2022, United Kingdom , Pillows and room facilities not up to 5 star standard and no view Plus took a payment from us twice costing nearly 700 for 1 night , The location of the hotel ,7.5
29/06/2022, Greece , Swimming pool smaller than it appears on photos and small changing room in relation to pool People at lobby can look at people swimming , Very good breakfast and children under 16 had breakfast for free Clean rooms and common areas Very comfortable beds Smart and elegant bathroom Very good air conditioning ventilation Fastest wi fi ever avg 36 Mbps down 43 Mbps up Easy access to taxi train metro RER Electronic games for children in lobby area Excellent communication with reception staff ,10
29/06/2022, United States of America , The staff never called for our airport shuttle although we asked four times By luck we ended up getting one on the morning we were leaving with their alert assistance The Internet service in room was very poor Other than that it was a lovely stay , The location is excellent the lobby a fine place to lounge the staff very friendly and accommodating Just one slip up see other comment ,9.2
29/06/2022, United Kingdom ,No Negative, The service received was excellent from breakfast to Concierge Reception to a late night drink at the bar the staff were professional and catered to every need Thank you ,9.6
28/06/2022, United Kingdom , Not bad experience but room could be bigger only one breakfast tea in the room had to request some more, Staff very helpful location v good ,8.3
28/06/2022, South Africa , the night staff were unbelievably rude and abrupt and so was the restaurant manager no manners what so ever will never stay at this hotel again also very far from mayfair which is pointless as it takes 20 30 min to oxford street and back NO HALAAL FOOD,No Positive,4.6
28/06/2022, Canada , Room a bit too warm and too small , Goisa front staff really helpful to help me plan for my 2 days in London Gabriola from breakfast lounge is really nice Real food Taste good too Even watched firework from my window,9.6
28/06/2022, United Kingdom , no kettle iv never stoped in a hotel that doesnt have a kettle in the room, comfy bed clean room on the doorstep of victoria station ,7.9
28/06/2022, Egypt , The room or if Im not mistaken all the standard double rooms are cramped in size barely enough for two humans to walk through Woth the third peace of luggage be prepared to rhink of innovative ideas to use the room either to get rid of tables and chairs or to jump accross points of interest inside the room, The wifi speed was very good compared to other hotels,6.3
28/06/2022, Switzerland ,No Negative, This hotel is classic and has a beautiful location Really makes you feel like you are having the hotel experience in the best way possible Rooms are well sized and some of the room views directly onto the opera are just stunning Location is magnificent Really a high standard hotel ,9.6
27/06/2022, Germany , small room no cupboard no desk no proper breakfast included, good bed kind of stylish 70s design,8.8
27/06/2022, Spain ,No Negative, The staff were very helpful and the location was good Rooms were comfortable for the price we paid 50 pounds per night without breakfast ,7.9
27/06/2022, United Kingdom , The breakfast setting is not ideal , The staff decor and the hotel room was very clean ,8.3
27/06/2022, United Kingdom , Wardrobe smelt musty so I took the clothes horse out of it and hung my suit on it in the room , Spacious breakfast room and good food Good shower room ,7.1
27/06/2022, United Kingdom , Shower screen leaked Bathroom floor would get wet,No Positive,8.8
27/06/2022, United Kingdom , Would have liked a bath , The room was lovely the bed was heavenly and when the curtains are closed its so dark for a perfect nights sleep Delicious breakfast Great location Great shower,9.2
27/06/2022, United Kingdom ,No Negative, Everywhere was very clean and new,8.8
27/06/2022, Australia , The sofa bed for such a high quality hotel was awful It was made up for us while we were out and had a massive bend in the metal bar at the foot of it The house maid could not help but know this as we saw it on entering the room so it should have been fixed We had a man come and look at it but as it was 11 30pm it could not be replaced due to limited staff at that time of night so he and my husband bent it back up as best they could and he said a new one would be put in the following day It was not replaced and the following night it had a printed sign on it to say no sitting on the end of the bed we were not impressed Felt it was a waste of our holiday time to follow up the issue We had similar beds over our 6 weeks of travel and they were of a much superior quality than this one not good enough for this hotel , Great spot for what we wanted to do in London Room service breakfast was fabulous and the table it was served on kept the hot food warm while eating our cereal As we were travelling with our adult daughter the room size was great for 3 people We did book an executive king room The bar in the hotel was also fabulous ,8.8
27/06/2022, United Kingdom , Hall way doors banging in the night , Comfy bed and helpful Staff Expensive but a drink in the bar was set apart from the bustle outside and very conducive to relaxation ,7.9
26/06/2022, United Kingdom ,No Negative, The rooms very clean and fresh,8.8
26/06/2022, United Kingdom , No dislikes, Clean and comfortable rooms staff very helpful Good location for tube station,8.8
26/06/2022, United Kingdom , Standard room the tiniest size compared to other hotels Breakfast average and not much choice Room window faced building wall , Location near to shops and tube station Excellent friendly staff including restaurant staff Nish in the restaurant soldiered on inspite of slipping and falling Brian and Camilla In reception pleasant and helpful ,7.1
26/06/2022, Australia , Safe is not secured to the building It can be picked up and placed in suit case, Location and helpfulness of staff Also asked for a balcony with view and it was given to us Thanks you,8.8
26/06/2022, United Kingdom , Lack of veggie options on room service menu, Lovely view from room very nice bed,7.1
26/06/2022, France ,No Negative, Excellent staff great breakfast loved the rooms,10
25/06/2022, United Kingdom , Noise pollution very hard to sleep Lack of organisation at breakfast no clean tables very slow service Very old fashioned hotel not as appears in photos Very overpriced , Welcome at the hotel,5
25/06/2022, Hungary ,No Negative, Kind and very helpful staff clean and comfortable room perfect place to stay ,10
25/06/2022, Russia , The doors between the rooms should be more insulated,No Positive,9.2
25/06/2022, United Kingdom , Shwer had no power and made an awful screeching sound when turned on , The hotel was fine apart from the shower However the room was no better than what you would have got with a cheaper hotel for 60 in the same area ,5
25/06/2022, United Kingdom , No negative issues, This hotel was the best we have ever stayed in The staff were courteous polite nothing was too much trouble The views of London from our room 914 were unbelievable Quiet as we requested Comfortable beds ,10
25/06/2022, , Heating in room set to high so was very warm We used the bar after the show at the Albert hall but had to sit at the bar the waitress said she would get us a table as soon as one was free but forgot The waitress at breakfast brought us half toasted toast and we had to ask for clean knives and more plates and returned with fork knife and spoon , Location great very close to Albert hall and Hyde park Bed comfy Nice to be able to open windows in a bedroom,7.5
25/06/2022, France ,No Negative, bed is good,5.4
25/06/2022, United Kingdom , Black hairs on chair in room ,No Positive,9.6
25/06/2022, Portugal , Needs to increase the breakfast space , Late check out Location Check in Assistance Staff,9.2
25/06/2022, Saudi Arabia , Pillow is too soft it hurt my neck Toilet gets all messy after shower Tight space to hang clothes Bar is opened to reception area so odour of alchohol fills the air when it s busy which almost always is Although the staff helped with arranging my ride to the airport confirming I would pay a fixed price I ended up paying more as the taxi driver was not aware of the fixed price , Great location At the heart of my favorite area walking distance from Covent Garden Soho Leicester Square Picadilly Square Accessible to bus station underground Young look feel hotel with friendly helpful staff Restaurants coffee shop serving a nice pritzel salted caramel cheesecak ,8.8
25/06/2022, United States of America , Rooms need maintenance, Staff is amazing,8.3
25/06/2022, Hong Kong , The room is a bit small but the room price is high , Good location Helpful staff Good breakfast ,8.3
25/06/2022, United Arab Emirates , First bedroom had a disgusting smell second bedroom had excrement covering the WC, Location,2.9
